dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total,last_updated
7334,0.0,5.885,"Watson, Bubba",-0.321,-0.153,0.166,-0.013,-0.321,2026-03-30 17:23:01 UTC
14013,0.007,-5.541,"Tringale, Cameron",-0.048,0.042,-0.374,0.048,-0.332,2026-03-30 17:23:01 UTC
7399,0.09,-12.916,"Glover, Lucas",0.108,0.024,-0.056,-0.414,-0.337,2026-03-30 17:23:01 UTC
23482,0.027,-7.778,"Sigg, Greyson",0.126,0.016,-0.198,-0.284,-0.34,2026-03-30 17:23:01 UTC
24185,-0.02,6.715,"Mansell, Richard",-0.163,-0.056,0.254,-0.393,-0.358,2026-03-30 17:23:01 UTC
22259,-0.083,14.549,"Del Rey, Alejandro",-0.248,-0.182,0.147,-0.088,-0.372,2026-03-30 17:23:01 UTC
23540,-0.01,-4.334,"Andersen, Mason",-0.34,0.077,-0.16,0.05,-0.373,2026-03-30 17:23:01 UTC
11019,0.02,3.078,"Steele, Brendan",0.082,-0.153,0.098,-0.404,-0.376,2026-03-30 17:23:01 UTC
15330,0.008,-3.884,"Griffin, Lanto",-0.114,-0.065,-0.184,-0.015,-0.377,2026-03-30 17:23:01 UTC
16602,-0.039,4.889,"Varner III, Harold",0.089,-0.016,-0.104,-0.347,-0.379,2026-03-30 17:23:01 UTC
11357,-0.164,7.781,"Uihlein, Peter",0.103,0.201,-0.883,0.185,-0.395,2026-03-30 17:23:01 UTC
27183,-0.003,9.859,"Salinda, Isaiah",-0.14,-0.236,0.385,-0.422,-0.414,2026-03-30 17:23:01 UTC
12177,0.014,-8.005,"Pavan, Andrea",-0.28,0.025,-0.296,0.137,-0.414,2026-03-30 17:23:01 UTC
21880,-0.023,10.032,"Cone, Trevor",-0.243,-0.2,0.294,-0.273,-0.421,2026-03-30 17:23:01 UTC
27780,-0.063,3.457,"Crowe, Trace",-0.177,0.011,-0.268,0.008,-0.425,2026-03-30 17:23:01 UTC
16475,-0.07,6.894,"Forrest, Grant",-0.285,-0.129,-0.108,0.094,-0.428,2026-03-30 17:23:01 UTC
16715,-0.013,-3.939,"Ryder, Sam",-0.173,-0.139,-0.312,0.195,-0.429,2026-03-30 17:23:01 UTC
15113,0.069,-20.576,"Pepperell, Eddie",-0.023,-0.085,-0.396,0.067,-0.438,2026-03-30 17:23:01 UTC
22608,-0.016,-1.073,"Clements, Todd",0.024,-0.056,-0.101,-0.307,-0.439,2026-03-30 17:23:01 UTC
21995,-0.048,6.54,"Springer, Hayden",-0.409,-0.079,-0.045,0.093,-0.44,2026-03-30 17:23:01 UTC
25094,-0.028,3.131,"Fishburn, Patrick",-0.265,-0.072,-0.16,0.044,-0.454,2026-03-30 17:23:01 UTC
14975,0.075,-13.705,"Otaegui, Adrian",-0.016,0.072,-0.22,-0.291,-0.455,2026-03-30 17:23:01 UTC
